Cargo,despesa_media,duracao_media,despesas_totais,destinos_mais_frequentes,n_viagens
Informações protegidas por sigilo,2959.206243281471,6.477510608203677,41843176.28,Informações protegidas por sigilo,14140
PROFESSOR DO MAGISTERIO SUPERIOR,2663.6811805555553,3.3050411522633745,10356392.43,Brasília/DF,3888
PROFESSOR ENS BASICO TECN TECNOLOGICO,1757.1943692810455,2.0215686274509803,5377014.77,Brasília/DF,3060
AUDITOR FISCAL FEDERAL AGROPECUARIO,1198.5916106442578,1.6792717086834734,3423177.64,['Campinas/SP' 'Casa Nova/BA'],2856
ANALISTA AMBIENTAL,1855.4025462107209,4.340573012939002,4015091.11,Brasília/DF,2164
AUDITOR-FISCAL DA RECEITA FEDERAL BRASIL,3012.232092130518,2.932341650671785,6277491.68,Brasília/DF,2084
CONTRATADO LEI 8745/93 - NI,705.5151707048458,1.972466960352423,1281215.55,Sena Madureira/AC,1816
TECNICO DO SEGURO SOCIAL,3288.1063452461226,6.167902899527983,4876261.71,Brasília/DF,1483
ANALISTA TRIBUTARIO REC FEDERAL BRASIL,2035.7975102040816,3.026530612244898,2992622.34,Brasília/DF,1470
AGENTE DE PESQ E MAPEAMENTO - NI,730.4768164508758,2.0517897943640517,959116.06,Ivinhema/MS,1313
TECNICO INFOR GEOGRAFICAS E ESTATISTICA,833.9997783933518,2.115420129270545,903221.76,Belém/PA,1083
AUDITOR FISCAL DO TRABALHO,1157.410120361083,2.2266800401203612,1153937.89,Brasília/DF,997
ASSISTENTE EM ADMINISTRAçãO,1062.5622523461939,1.5516162669447342,1018997.2,Brasília/DF,959
AGENTE DE INSP SANIT IND PROD ORIGEM ANI,569.7449562363239,1.4048140043763677,520746.89,Campinas/SP,914
ENGENHEIRO-AREA,478.6461215469613,0.6773480662983425,433174.74,Ituiutaba/MG,905
AGENTE ADMINISTRATIVO,2807.2625668449195,3.671122994652406,2099832.4,São Paulo/SP,748
MOTORISTA,505.0526865671642,1.2477611940298508,338385.3,Belo Horizonte/MG,670
TECNICO AMBIENTAL,1840.583449419569,5.87893864013267,1109871.82,Brasília/DF,603
ANALISTA INFRA-ESTRUTURA DE TRANSPORTE,3015.72483277592,2.2140468227424748,1803403.45,Brasília/DF,598
